RandomForest,sem_submodalidade,FALSE,test,9.288.448.308.186.960,8.726.290.667.001.630,8.519.437.853.622.920,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200, 'smote': 'passthrough'}",2026-06-06 17:54:01.401664
RandomForest,submodalidade_agrupada,TRUE,tuning_cv,9.430.256.301.344.010,,,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200, 'smote': SMOTE(random_state=42)}",2026-06-06 18:13:47.494850
RandomForest,submodalidade_agrupada,TRUE,test,94.322.852.434.872,8.845.592.435.108.200,8.672.020.441.686.430,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200, 'smote': SMOTE(random_state=42)}",2026-06-06 18:14:19.573252
RandomForest,submodalidade_agrupada,FALSE,tuning_cv,9.443.136.892.293.110,,,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200, 'smote': 'passthrough'}",2026-06-06 18:14:19.580542
RandomForest,submodalidade_agrupada,FALSE,test,944.418.536.922.654,8.879.138.787.470.420,8.694.469.793.757.980,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200, 'smote': 'passthrough'}",2026-06-06 18:14:41.516486
RandomForest,submodalidade_engineered,TRUE,tuning_cv,9.382.670.697.024.870,,,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200, 'smote': SMOTE(random_state=42)}",2026-06-06 18:32:21.260946
RandomForest,submodalidade_engineered,TRUE,test,9.384.579.648.114.790,8.784.015.768.056.960,860.375.981.018.434,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200, 'smote': SMOTE(random_state=42)}",2026-06-06 18:32:49.909985
RandomForest,submodalidade_engineered,FALSE,tuning_cv,9.399.608.338.016.260,,,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200, 'smote': 'passthrough'}",2026-06-06 18:32:49.918178
RandomForest,submodalidade_engineered,FALSE,test,9.398.629.236.639.810,8.823.593.972.937.800,86.305.895.236.357,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200, 'smote': 'passthrough'}",2026-06-06 18:33:09.813004
SVM,sem_submodalidade,TRUE,tuning_cv,7.673.522.523.193.050,,,"{'smote': SMOTE(random_state=42), 'svc__C': 10}",2026-06-06 18:51:55.991055
SVM,sem_submodalidade,TRUE,test,764.985.014.152.473,7.484.782.540.133.090,7.088.884.832.998.720,"{'smote': SMOTE(random_state=42), 'svc__C': 10}",2026-06-06 18:52:05.735131
SVM,sem_submodalidade,FALSE,tuning_cv,7.663.815.698.009.560,,,"{'smote': 'passthrough', 'svc__C': 10}",2026-06-06 18:52:05.735882
SVM,sem_submodalidade,FALSE,test,7.640.860.092.106.220,7.486.026.482.767.300,7.085.782.077.021.350,"{'smote': 'passthrough', 'svc__C': 10}",2026-06-06 18:52:13.917961
SVM,submodalidade_agrupada,TRUE,tuning_cv,8.246.998.998.080.890,,,"{'smote': SMOTE(random_state=42), 'svc__C': 10}",2026-06-06 18:56:29.584682
SVM,submodalidade_agrupada,TRUE,test,8.238.561.806.057.120,784.413.081.323.054,7.468.516.152.582.580,"{'smote': SMOTE(random_state=42), 'svc__C': 10}",2026-06-06 18:56:48.211561
SVM,submodalidade_agrupada,FALSE,tuning_cv,8.247.066.997.569.820,,,"{'smote': 'passthrough', 'svc__C': 10}",2026-06-06 18:56:48.212493
SVM,submodalidade_agrupada,FALSE,test,8.241.282.151.218.850,7.852.463.597.131.230,7.475.086.694.652.300,"{'smote': 'passthrough', 'svc__C': 10}",2026-06-06 18:57:03.702796
